Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00554893973511902,-0.00237073356367263,-0.193108630757846,0,0,0,3.15408218120688,0.0190867271306195,9.49326999653824E-06,1.99135207647016E-19,0.0190757652466434,2.70805743697891E-18,0.0143902861416029,0,0,0,0,0,0,package://delta_arm_5_9/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/base_link.STL,,機械手臂支架-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
A_Link,-0.0379048699759324,-0.00517857761961886,-0.00557187014435287,0,0,0,0.148279001708708,7.54696348081895E-05,-9.72663516624767E-07,6.33543481781608E-07,5.65460220237497E-05,-3.93825719110163E-06,8.26078524097678E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_Link.STL,,mx-64_馬達-1,Origin_A_joint,Axis_A_joint,A_joint,fixed,0.0114000499999898,-0.0629227659318234,0.0274485649384041,0,0,0,base_link,0,0,0,,,,,,,,,,,,
A_upper_Link,-0.0116561316606174,-0.0378219209354024,-0.0261820764249399,0,0,0,0.0834651127414681,0.000109196265332253,4.02905885378998E-07,2.78909619240212E-07,3.94683583541158E-05,-4.16223927023038E-05,7.07820517033241E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_upper_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_upper_Link.STL,,上臂-1,Origin_A_upper_joint,Axis_A_upper_joint,A_upper_joint,revolute,0,-0.021838122348941,-0.0017491424388583,0,0,0,A_Link,-1,0,0,0,0,0.3925,0.785,,,,,,,,
A_lower_Link,-0.00799295057134536,0.00149434619309585,-0.00449854405208859,0,0,0,0.125950945666948,2.60047233826041E-05,-1.10443542971112E-06,-1.39950787832508E-06,4.05948423209499E-05,5.37512520342376E-06,3.80360818964886E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_lower_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_lower_Link.STL,,下臂-1/下臂_護蓋-1;下臂-1/下臂_旋轉軸-2/下臂_連接件_上_2-2;下臂-1/下臂_旋轉軸-2/下臂_連接件_上_2-1;下臂-1/下臂_旋轉軸-2/下臂_連接件_下-2;下臂-1/下臂_旋轉軸-2/下臂_旋轉軸_左-1;下臂-1/下臂_旋轉軸-2/下臂_連接件_下-1;下臂-1/下臂_旋轉軸-2/下臂_旋轉軸_右-1,Origin_A_lower_joint,Axis_A_lower_joint,A_lower_joint,fixed,-0.00340004999999477,-0.0822216038863688,-0.0569175531304405,0,0,0,A_upper_Link,0,0,0,,,,,,,,,,,,
A_L_A_Link,-1.11022302462516E-16,0.045965569408597,-0.0785376752201571,0,0,0,0.00512917360576094,1.40782919240295E-05,3.87455725113631E-21,-6.62379062297449E-21,1.04922009770858E-05,6.12726546684082E-06,3.60912573259832E-06,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_L_A_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_L_A_Link.STL,,下臂-1/螺桿_5.9_82-1,Origin_A_L_A_joint,Axis_A_L_A_joint,A_L_A_joint,fixed,-0.0499999999999999,0.0157321910270431,-0.0278702021070493,0,0,0,A_lower_Link,0,0,0,,,,,,,,,,,,
A_L_B_Link,-1.38777878078145E-16,0.0459655694085872,-0.0785376752201353,0,0,0,0.00512917360576094,1.40782919240295E-05,3.87886259222542E-21,-6.63097353655021E-21,1.04922009770858E-05,6.12726546684083E-06,3.60912573259832E-06,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_L_B_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_L_B_Link.STL,,下臂-1/螺桿_5.9_82-2,Origin_A_L_B_joint,Axis_A_L_B_joint,A_L_B_joint,fixed,0.0840000000000001,0,0,0,0,0,A_L_A_Link,0,0,0,,,,,,,,,,,,
A_L_C_Link,-0.0250089440002082,0.0254266308227719,-0.0243339822327821,0,0,0,0.10195719003566,1.97815921666454E-05,9.67403667468601E-11,-2.70121864713207E-10,5.02574058180274E-05,5.45822558851642E-06,4.12421706448766E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_L_C_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/A_L_C_Link.STL,,下臂-1/下臂_旋轉軸-1/下臂_連接件_上_2-1;下臂-1/下臂_旋轉軸-1/下臂_旋轉軸_左-1;下臂-1/下臂_旋轉軸-1/下臂_旋轉軸_右-1;下臂-1/下臂_旋轉軸-1/下臂_連接件_上_2-2;下臂-1/下臂_護蓋_下_2-1;下臂-1/下臂_旋轉軸-1/下臂_連接件_下-2;下臂-1/下臂_旋轉軸-1/下臂_連接件_下-1,Origin_A_L_C_joint,Axis_A_L_C_joint,A_L_C_joint,fixed,-0.0170000000000001,0.0755867189956139,-0.153895737145241,0,0,0,A_L_B_Link,0,0,0,,,,,,,,,,,,
bottom1_Link,0.00132946745260076,0.00106644560728835,-0.0595675638269158,0,0,0,0.0746189136507692,3.52856447126956E-05,-1.07419992679813E-11,5.8879335434017E-12,3.52856295907577E-05,5.78723225934602E-13,5.37048090959678E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/bottom1_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/bottom1_Link.STL,,移動平台-2,Origin_bottom_joint,Axis_C_upper_joint,bottom1_joint,fixed,-0.026329,0.075174,0.024309,0,0,0,A_L_C_Link,0,0,0,,,,,,,,,,,,
B_Link,0.0234372150917092,-0.030237291235818,-0.00557186943923548,0,0,0,0.148279005447803,6.04345800459525E-05,-7.7078351717096E-06,3.0938568532383E-06,7.15810885240533E-05,2.51778994435991E-06,8.26078569675061E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_Link.STL,,mx-64_馬達-3,Origin_B_joint,,B_joint,fixed,0.048793,0.041334,0.027449,0,0,0,base_link,0,0,0,,,,,,,,,,,,
B_upper_Link,0.0389317157383473,0.00844054334292714,-0.0260163168045699,0,0,0,0.0834651205259569,5.69775622618879E-05,-3.05526048257796E-05,3.57874294728405E-05,9.13233905327305E-05,2.09819002091223E-05,7.11457227314995E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_upper_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_upper_Link.STL,,上臂-3,Origin_B_upper_joint,Axis_B_upper_joint,B_upper_joint,revolute,0.018912368725138,0.0109190611744718,-0.00174914243885832,0,0,0,B_Link,0.499999999999999,-0.866025403784439,0,0,0,0.3925,0.785,,,,,,,,
B_lower_Link,0.00271366382342569,-0.00766272977653282,-0.00450286943885877,0,0,0,0.12595094566693,3.60107484524521E-05,6.88547909636122E-06,-3.95032852499742E-06,3.06200481918059E-05,-3.89302165717325E-06,3.80048511362512E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_lower_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_lower_Link.STL,,下臂-3/下臂_護蓋-1;下臂-3/下臂_旋轉軸-2/下臂_連接件_上_2-2;下臂-3/下臂_旋轉軸-2/下臂_連接件_上_2-1;下臂-3/下臂_旋轉軸-2/下臂_連接件_下-2;下臂-3/下臂_旋轉軸-2/下臂_連接件_下-1;下臂-3/下臂_旋轉軸-2/下臂_旋轉軸_右-1;下臂-3/下臂_旋轉軸-2/下臂_旋轉軸_左-1,Origin_B_lower_joint,Axis_B_lower_joint,B_lower_joint,fixed,0.0733710399345057,0.0378573998222244,-0.056557211455513,0,0,0,B_upper_Link,0,0,0,,,,,,,,,,,,
B_L_A_Link,-0.039609450676557,-0.0228685270105631,-0.0786709723437815,0,0,0,0.00512917360576095,1.14153993314539E-05,-1.53742175514658E-06,-5.28894862025827E-06,1.31906610598377E-05,-3.0535759096362E-06,3.57355824242211E-06,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_L_A_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_L_A_Link.STL,,下臂-3/螺桿_5.9_82-1,Origin_B_L_A_joint,Axis_B_L_A_joint,B_L_A_joint,fixed,0.0114457484466838,-0.0511268209721932,-0.0279158202419673,0,0,0,B_lower_Link,0,0,0,,,,,,,,,,,,
B_L_B_Link,-0.0396094506765681,-0.0228685270105695,-0.0786709723439706,0,0,0,0.00512917360576094,1.14153993314539E-05,-1.53742175514657E-06,-5.28894862025824E-06,1.31906610598376E-05,-3.05357590963618E-06,3.57355824242209E-06,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_L_B_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_L_B_Link.STL,,下臂-3/螺桿_5.9_82-2,Origin_B_L_B_joint,Axis_B_L_B_joint,B_L_B_joint,fixed,-0.0419999999999985,0.0727461339178937,0,0,0,0,B_L_A_Link,0,0,0,,,,,,,,,,,,
B_L_C_Link,0.0220672595297202,-0.0357672118397607,0.00987641544824613,0,0,0,0.101957194115647,4.26622807753621E-05,1.32100761451672E-05,-4.70405091721938E-06,2.74083789576683E-05,-2.716195793614E-06,4.12105119517624E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_L_C_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/B_L_C_Link.STL,,下臂-3/下臂_旋轉軸-1/下臂_旋轉軸_左-1;下臂-3/下臂_旋轉軸-1/下臂_旋轉軸_右-1;下臂-3/下臂_旋轉軸-1/下臂_連接件_上_2-2;下臂-3/下臂_護蓋_下_2-1;下臂-3/下臂_旋轉軸-1/下臂_連接件_上_2-1;下臂-3/下臂_旋轉軸-1/下臂_連接件_下-2;下臂-3/下臂_旋轉軸-1/下臂_連接件_下-1,Origin_B_L_C_joint,Axis_B_L_C_joint,B_L_C_joint,fixed,-0.0880938218217293,-0.0508609917427181,-0.188399046111979,0,0,0,B_L_B_Link,0,0,0,,,,,,,,,,,,
bottom2_Link,0.00132946745260065,0.0010664456072884,-0.0595675638269399,0,0,0,0.0746189136507693,3.52856447126956E-05,-1.07419992613903E-11,5.88793353213287E-12,3.52856295907577E-05,5.7872321882608E-13,5.37048090959678E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/bottom2_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/bottom2_Link.STL,,移動平台-2,Origin_bottom_joint,,bottom2_joint,fixed,-0.023757,-0.061358,0.058497,0,0,0,B_L_C_Link,0,0,0,,,,,,,,,,,,
C_Link,0.0144676549502475,0.0354158699390667,-0.00557186924699208,0,0,0,0.148279008091616,6.21192805432519E-05,8.68049697699984E-06,-3.72739744014281E-06,6.9896390840138E-05,1.4204638821682E-06,8.26078590256881E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_Link.STL,,mx-64_馬達-2,Origin_C_joint,Axis_C_joint,C_joint,fixed,-0.0601927387733479,0.021588650061524,0.0274485649384041,0,0,0,base_link,0,0,0,,,,,,,,,,,,
C_upper_Link,-0.0370276975130816,0.0354146443452576,-0.0277654592433011,0,0,0,0.0834651205260636,5.62776015336082E-05,3.01484823111371E-05,-3.60645733367652E-05,9.20233512599027E-05,2.05018729548205E-05,7.11457227313868E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_upper_Link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_upper_Link.STL,,上臂-2,Origin_C_upper_joint,Axis_C_upper_joint,C_upper_joint,revolute,-0.00866025403784439,0.00499999999999999,0,0,0,0,C_Link,0.499999999999999,0.866025403784439,0,0,0,0.3925,0.785,,,,,,,,
C_lower_Link,-0.00272071527826098,-0.00767493860027665,-0.00450286923597668,0,0,0,0.12595094566685,3.79307256106078E-05,-5.77697972931612E-06,5.34661972500712E-06,2.87000709898317E-05,-1.47457435659635E-06,3.80048510924299E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_lower_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_lower_Link.STL,,下臂-2/下臂_護蓋-1;下臂-2/下臂_旋轉軸-2/下臂_連接件_上_2-2;下臂-2/下臂_旋轉軸-2/下臂_連接件_上_2-1;下臂-2/下臂_旋轉軸-2/下臂_旋轉軸_左-1;下臂-2/下臂_旋轉軸-2/下臂_連接件_下-1;下臂-2/下臂_旋轉軸-2/下臂_旋轉軸_右-1;下臂-2/下臂_旋轉軸-2/下臂_連接件_下-2,Origin_C_lower_joint,Axis_C_lower_joint,C_lower_joint,fixed,-0.071723104621811,0.0643879522092714,-0.0583063538944643,0,0,0,C_upper_Link,0,0,0,,,,,,,,,,,,
C_L_A_Link,0.0396094506764286,-0.0228685270104892,-0.0786709723435823,0,0,0,0.00512917360576094,1.14153993314576E-05,1.53742175514446E-06,5.28894862025585E-06,1.31906610598389E-05,-3.05357590963481E-06,3.57355824241722E-06,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_L_A_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_L_A_Link.STL,,下臂-2/螺桿_5.9_82-1,Origin_C_L_A_joint,Axis_C_L_A_joint,C_L_A_joint,fixed,0.0305542515533874,0.0216193129456589,-0.0279158202419453,0,0,0,C_lower_Link,0,0,0,,,,,,,,,,,,
C_L_B_Link,0.0396094506764278,-0.0228685270104887,-0.0786709723435807,0,0,0,0.00512917360576094,1.14153993314576E-05,1.53742175514446E-06,5.28894862025585E-06,1.31906610598389E-05,-3.05357590963481E-06,3.57355824241722E-06,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_L_B_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_L_B_Link.STL,,下臂-2/螺桿_5.9_82-2,Origin_C_L_B_joint,Axis_C_L_B_joint,C_L_B_joint,fixed,-0.042,-0.0727461339178929,0,0,0,0,C_L_A_Link,0,0,0,,,,,,,,,,,,
C_L_C_Link,-0.00753677837145254,-0.0637656431594465,-0.024407798088839,0,0,0,0.101957193979774,4.26621147766058E-05,-1.32101719973147E-05,4.70432142242074E-06,2.74085449512918E-05,-2.71572724887545E-06,4.12105119702986E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_L_C_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/C_L_C_Link.STL,,下臂-2/下臂_旋轉軸-1/下臂_連接件_上_2-2;下臂-2/下臂_旋轉軸-1/下臂_旋轉軸_左-1;下臂-2/下臂_旋轉軸-1/下臂_旋轉軸_右-1;下臂-2/下臂_旋轉軸-1/下臂_連接件_上_2-1;下臂-2/下臂_護蓋_下_2-1;下臂-2/下臂_旋轉軸-1/下臂_連接件_下-1;下臂-2/下臂_旋轉軸-1/下臂_連接件_下-2,Origin_C_L_C_joint,Axis_A_upper_joint,C_L_C_joint,fixed,0.115572283607615,0.0498990653245883,-0.154114829077067,0,0,0,C_L_B_Link,0,0,0,,,,,,,,,,,,
bottom_Link,0.00132946918428123,0.00106644292646986,-0.0638897777630391,0,0,0,0.0388343573298947,2.98686166160616E-05,-1.07263679396049E-11,5.8758859567164E-12,2.98686014801353E-05,5.76938703118429E-13,4.93696895199585E-05,0,0,0,0,0,0,package://delta_arm_5_9/meshes/bottom_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://delta_arm_5_9/meshes/bottom_Link.STL,,移動平台-2/移動平台-1,Origin_bottom_joint,,bottom_joint,fixed,0.03512,-0.090238,0.024213,0,0,0,C_L_C_Link,0,0,0,,,,,,,,,,,,
